service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
a_merged_999110,20110502,20110626,0,0,0,0,0,1,0
tf_merged_999109,20110404,20110501,0,0,0,1,1,0,0
muw_merged_999111,20110502,20110626,1,1,1,0,0,0,0
tf_merged_999116,20110502,20110626,0,0,0,1,1,0,0
a_merged_999103,20110404,20110501,0,0,0,0,0,1,0
mutf_merged_999105,20110404,20110501,1,1,0,1,1,0,0
muwtf_merged_999113,20110502,20110626,1,1,1,1,1,0,0
mutf_merged_999112,20110502,20110626,1,1,0,1,1,0,0
w_merged_999115,20110502,20110626,0,0,1,0,0,0,0
muw_merged_999104,20110404,20110501,1,1,1,0,0,0,0
muwtf_merged_999106,20110404,20110501,1,1,1,1,1,0,0
s_merged_999107,20110404,20110501,0,0,0,0,0,0,1
w_merged_999108,20110404,20110501,0,0,1,0,0,0,0
s_merged_999114,20110502,20110626,0,0,0,0,0,0,1
