block_id,route_id,trip_headsign,service_id,shape_id,trip_id
a_932,13,Laurelwood,muwtf_merged_999106,1301,416265_merged_1005461
b_802,8,Fairview via Courtland TR,s_merged_999114,811,425756_merged_1010508
b_2401,24,Highland,a_merged_999110,2401,417993_merged_1006700
a_2532,25,Queen South to Downtown,muwtf_merged_999106,2511,415282_merged_1004988
a_6102,61,Cambridge Centre,muwtf_merged_999106,6111,415995_merged_999126
b_938,9,Lakeshore to UW,muwtf_merged_999113,901,416347_merged_1010938
a_232,2,Forest Hill via Southmoor,muwtf_merged_999106,212,414987_merged_1003453
a_710,7,A Fairview Park via Connaught,a_merged_999103,714,418437_merged_1004376
a_2281,22,Laurentian West to Forest Glen,muwtf_merged_999106,2201,416783_merged_1002233
a_2533,15,Frederick,muwtf_merged_999106,1501,415311_merged_1004021
b_702,7,B Fairview Park via Weber,a_merged_999110,713,418516_merged_1012189
b_2236,23,Downtown,muwtf_merged_999113,2311,413436_merged_1010874
a_1001,10,Fairview Park via Becthel,a_merged_999103,1012,418214_merged_1005526
b_702,7,E UW via Columbia,muwtf_merged_999113,706,414332_merged_1010784
a_709,7,A Fairview Park via Connaught,a_merged_999103,714,418452_merged_1000061
b_1284,27,Fairview Park,s_merged_999114,2711,420554_merged_1010427
b_3131,29,Keats Way to UW,muwtf_merged_999113,2911,421119_merged_1008466
b_2031,11,Downtown,muwtf_merged_999113,1111,414629_merged_1010138
a_883,3,Ottawa South,muwtf_merged_999106,300,414211_merged_1003532
b_3131,29,Keats Way,muwtf_merged_999113,2901,421133_merged_1008678
b_131,1,Stanley Park via River,muwtf_merged_999113,101,414089_merged_1011747
a_802,8,University via Franklin/East & Westmount,s_merged_999107,805,425561_merged_1005087
a_9918,9918,7F to Eastwood,muwtf_merged_999106,991803,416663_merged_1004055
b_704,7,D UW via University,s_merged_999114,702,420272_merged_1011470
b_5831,58,Elmwood,muwtf_merged_999113,5800,416534_merged_1006122
b_2031,11,Country Hills,a_merged_999110,1101,417811_merged_1006317
a_5532,55,St. Andrews,muwtf_merged_999106,5500,416568_merged_1002692
a_802,8,Fairview via Franklin TA,muwtf_merged_999106,816,426924_merged_1002408
b_1231,12,Conestoga Mall,a_merged_999110,1201,418241_merged_1008644
a_2232,2,Downtown,a_merged_999103,221,419097_merged_1004840
b_805,8,University via Weber,muwtf_merged_999113,808,426715_merged_1008890
a_1181,20,Victoria Hills to Downtown,s_merged_999107,2011,420142_merged_1005574
b_702,7,C Conestoga Mall,s_merged_999114,707,420317_merged_1006224
b_934,35,Eastbridge to Conestoga Mall,a_merged_999110,3511,419285_merged_1011803
b_2231,23,Idlewood,a_merged_999110,2301,417931_merged_1007437
b_1982,19,Victoria South to Highland Hills,muwtf_merged_999113,1901,413379_merged_1012211
b_808,8,University via Franklin & Westmount,muwtf_merged_999113,803,426868_merged_1006585
b_936,9,Lakeshore to UW,muwtf_merged_999113,901,416326_merged_1010726
b_731,14,Conestoga Mall,muwtf_merged_999113,1411,415662_merged_1007219
a_632,18,Guelph Street,muwtf_merged_999106,1800,414874_merged_1000745
a_933,13,Laurelwood to UW,muwtf_merged_999106,1311,416302_merged_1003700
a_931,5,Uptown,a_merged_999103,511,419359_merged_1004502
a_5531,59,Christopher,muwtf_merged_999106,5900,413624_merged_1003257
a_3131,29,Keats Way to UW,muwtf_merged_999106,2911,421122_merged_1005142
a_703,7,B Fairview Park via Weber,a_merged_999103,713,418526_merged_1000711
b_935,9,Lakeshore to Conestoga Mall,muwtf_merged_999113,911,416377_merged_1007938
b_934,5,Erb West,muwtf_merged_999113,501,415586_merged_1010208
a_803,8,Fairview via Weber & Courtland TR,a_merged_999103,823,426211_merged_1003167
b_1234,12,Conestoga Mall,a_merged_999110,1201,418230_merged_1012508
b_936,5,Erb West,a_merged_999110,501,419332_merged_1006050
b_9804,9804,Rt 66,muwtf_merged_999113,980402,416594_merged_1006955
b_5332,66,Winston,a_merged_999110,6600,419035_merged_1012321
a_2531,25,Queen South to Downtown via Westheights,a_merged_999103,2512,418092_merged_1003394
b_931,9,Lakeshore to UW,muwtf_merged_999113,901,416355_merged_1007661
a_5432,54,Lisbon Pines,muwtf_merged_999106,5400,413721_merged_1003229
a_8024,200,iXpress to Ainslie Terminal,muwtf_merged_999106,20011,415943_merged_1003219
b_8002,200,iXpress to Conestoga Mall,a_merged_999110,20001,419610_merged_1011909
a_1032,10,Fairview Park,muwtf_merged_999106,1011,415793_merged_1002882
a_5632,60,Northview Acres,a_merged_999103,6000,418922_merged_1000343
a_5133,65,Fisher Mills on detour,a_merged_999103,6501,419013_merged_1004955
b_5631,56,Cambridge Centre,s_merged_999114,5611,420453_merged_1011931
a_2232,23,Downtown,a_merged_999103,2311,417954_merged_1001398
b_2032,20,Victoria Hills to Highland Hills Mall,muwtf_merged_999113,2001,414929_merged_1006434
a_1381,13,Laurelwood,muwtf_merged_999106,1301,416318_merged_1000459
a_702,7,C Conestoga Mall,muwtf_merged_999106,701,414277_merged_1004177
a_5135,71,Melran on Detour,a_merged_999103,7101,419063_merged_1001637
a_2031,20,Victoria Hills to Downtown,a_merged_999103,2011,417915_merged_1000875
b_335,16,Conestoga College,muwtf_merged_999113,1601,415748_merged_1008585
