service_id,date,exception_type
tf_merged_999109,20110422,2
muw_merged_999111,20110422,2
tf_merged_999116,20110422,2
mutf_merged_999105,20110422,2
muwtf_merged_999113,20110422,2
mutf_merged_999112,20110422,2
w_merged_999115,20110422,2
muw_merged_999104,20110422,2
muwtf_merged_999106,20110422,2
w_merged_999108,20110422,2
s_merged_999107,20110422,1
s_merged_999114,20110422,1
tf_merged_999109,20110523,2
muw_merged_999111,20110523,2
tf_merged_999116,20110523,2
mutf_merged_999105,20110523,2
muwtf_merged_999113,20110523,2
mutf_merged_999112,20110523,2
w_merged_999115,20110523,2
muw_merged_999104,20110523,2
muwtf_merged_999106,20110523,2
w_merged_999108,20110523,2
s_merged_999107,20110523,1
s_merged_999114,20110523,1
