service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
s_merged_999125,20110502,20110626,0,0,0,0,0,0,1
muw,20110502,20110626,1,1,1,0,0,0,0
a_merged_999121,20110627,20110904,0,0,0,0,0,1,0
mutf,20110502,20110626,1,1,0,1,1,0,0
s_merged_999122,20110627,20110904,0,0,0,0,0,0,1
a_merged_999124,20110502,20110626,0,0,0,0,0,1,0
muwtf_merged_999123,20110627,20110904,1,1,1,1,1,0,0
muwtf_merged_999126,20110502,20110626,1,1,1,1,1,0,0
t,20110627,20110904,0,0,0,1,0,0,0
w,20110502,20110626,0,0,1,0,0,0,0
tf,20110502,20110626,0,0,0,1,1,0,0
