route_id,trip_headsign,service_id,shape_id,trip_id
16,Forest Glen via Biehn,muwtf_merged_999123,1612,441267
7,B Fairview Park via Weber,s_merged_999122,713,446946
7,B Fairview Park via Weber,s_merged_999122,713,446949
64,Langs,muwtf_merged_999126,6401,416602
16,Forest Glen via Biehn,muwtf_merged_999123,1612,441268
61,Cambridge Centre,muwtf_merged_999126,6111,415998
61,Cambridge Centre,muwtf_merged_999126,6111,415999
61,Cambridge Centre,muwtf_merged_999126,6111,415992
61,Cambridge Centre,muwtf_merged_999126,6111,415993
61,Cambridge Centre,muwtf_merged_999126,6111,415990
61,Cambridge Centre,muwtf_merged_999126,6111,415991
61,Cambridge Centre,muwtf_merged_999126,6111,415996
61,Cambridge Centre,muwtf_merged_999126,6111,415997
61,Cambridge Centre,muwtf_merged_999126,6111,415994
61,Cambridge Centre,muwtf_merged_999126,6111,415995
9971,SMH-Courtland,muwtf_merged_999126,997102,416511
25,Queen South via Overlea,a_merged_999121,2502,443968
9,Lakeshore to UW,s_merged_999125,901,420628
9,Lakeshore to UW,s_merged_999125,901,420629
7,A Fairview Park via Connaught,s_merged_999125,714,420338
7,A Fairview Park via Connaught,s_merged_999125,714,420339
7,A Fairview Park via Connaught,s_merged_999125,714,420332
7,A Fairview Park via Connaught,s_merged_999125,714,420333
7,D UW via University,s_merged_999125,702,420330
7,D UW via University,s_merged_999125,702,420331
7,A Fairview Park via Connaught,s_merged_999125,714,420336
7,A Fairview Park via Connaught,s_merged_999125,714,420337
7,A Fairview Park via Connaught,s_merged_999125,714,420334
7,A Fairview Park via Connaught,s_merged_999125,714,420335
56,Cambridge Centre,muwtf_merged_999126,5611,413693
67,Lovell Industrial,muwtf_merged_999126,6700,413920
56,Cambridge Centre,muwtf_merged_999126,5611,413691
56,Cambridge Centre,muwtf_merged_999126,5611,413690
56,Cambridge Centre,muwtf_merged_999126,5611,413697
56,Cambridge Centre,muwtf_merged_999126,5611,413696
9,Lakeshore to Conestoga Mall,muwtf_merged_999123,911,441779
9,Lakeshore to Conestoga Mall,muwtf_merged_999123,911,441778
9,Lakeshore to Conestoga Mall,muwtf_merged_999123,911,441777
9,Lakeshore to Conestoga Mall,muwtf_merged_999123,911,441776
9,Lakeshore to Conestoga Mall,muwtf_merged_999123,911,441775
9,Lakeshore to Conestoga Mall,muwtf_merged_999123,911,441774
9,Lakeshore to Conestoga Mall,muwtf_merged_999123,911,441773
9,Lakeshore to Conestoga Mall,muwtf_merged_999123,911,441771
60,Northview Acres,muwtf_merged_999126,6000,413944
1,Stanley Park via Becker/Lorraine,s_merged_999125,104,419971
8,University via Westmount,muwtf_merged_999126,807,426729
64,Langs,a_merged_999121,6401,444819
64,Langs,a_merged_999121,6401,444818
200,iXpress to Ainslie Terminal,muwtf_merged_999123,20011,450539
200,iXpress to Ainslie Terminal,muwtf_merged_999123,20011,450538
64,Langs,a_merged_999121,6401,444811
64,Langs,a_merged_999121,6401,444810
64,Langs,a_merged_999121,6401,444813
64,Langs,a_merged_999121,6401,444812
64,Langs,a_merged_999121,6401,444815
64,Langs,a_merged_999121,6401,444814
64,Langs,a_merged_999121,6401,444817
64,Langs,a_merged_999121,6401,444816
9858,Route 60 Special,muwtf_merged_999126,985800,414031
60,Northview Acres,muwtf_merged_999126,6000,413942
7,C Conestoga Mall,s_merged_999122,707,446888
7,C Conestoga Mall,s_merged_999122,707,446889
7,C Conestoga Mall,s_merged_999122,707,446884
7,C Conestoga Mall,s_merged_999122,707,446885
7,C Conestoga Mall,s_merged_999122,707,446886
7,C Conestoga Mall,s_merged_999122,707,446887
7,C Conestoga Mall,s_merged_999122,707,446880
7,C Conestoga Mall,s_merged_999122,707,446881
7,C Conestoga Mall,s_merged_999122,707,446882
7,C Conestoga Mall,s_merged_999122,707,446883
7,A Fairview Park via Connaught,muwtf_merged_999126,716,414462
51,Hespeler Road to Ainslie Terminal,muwtf_merged_999126,5111,415036
8,Fairview via Westmount & Franklin TR,muwtf_merged_999126,820,426741
8,Fairview via Westmount & Franklin TR,muwtf_merged_999126,820,426740
8,Fairview via Franklin/East TR,muwtf_merged_999126,813,426743
8,Fairview via Franklin/East TR,muwtf_merged_999126,813,426742
8,Fairview via Franklin/East TR,muwtf_merged_999126,813,426745
8,Fairview via Franklin/East TR,muwtf_merged_999126,813,426744
8,Fairview via Franklin/East TR,muwtf_merged_999126,813,426747
8,Fairview via Franklin/East TR,muwtf_merged_999126,813,426746
8,Fairview via Westmnt & Franklin/East TR,muwtf_merged_999126,818,426749
8,Fairview via Franklin/East TR,muwtf_merged_999126,813,426748
8,Fairview via Courtland TA,muwtf_merged_999126,812,426969
8,Fairview via Courtland TA,muwtf_merged_999126,812,426968
1,Downtown via Lorraine,a_merged_999121,112,443634
1,Downtown via Lorraine,a_merged_999121,112,443635
1,Downtown via Lorraine,a_merged_999121,112,443636
1,Downtown via Lorraine,a_merged_999121,112,443637
1,Downtown via Lorraine,a_merged_999121,112,443630
1,Downtown via Lorraine,a_merged_999121,112,443631
1,Downtown via Lorraine,a_merged_999121,112,443632
1,Downtown via Lorraine,a_merged_999121,112,443633
64,Langs,a_merged_999124,6401,418960
64,Langs,a_merged_999124,6401,418961
64,Langs,a_merged_999124,6401,418962
64,Langs,a_merged_999124,6401,418963
1,Downtown via Lorraine,a_merged_999121,112,443638
1,Downtown via Lorraine,a_merged_999121,112,443639
64,Langs,a_merged_999124,6401,418966
64,Langs,a_merged_999124,6401,418967
53,Hespeler Terminal,a_merged_999121,5301,445283
53,Hespeler Terminal,a_merged_999121,5301,445282
53,Hespeler Terminal,a_merged_999121,5301,445281
53,Hespeler Terminal,a_merged_999121,5301,445280
53,Ainslie St. Terminal,a_merged_999121,5311,445287
